state,county,UFO_sightings,Population,Median Age,Median Household Income,percent female,percent HS,percent AF,UFO_percapita
ca,imperial county,3,175201.0,31.8,41807.0,48.5830560327852,12.949127002699756,0.2226014691696965,1.7123189936130502e-05
ca,kern county,12,848204.0,30.8,48552.0,48.52087469523841,15.58917430240838,0.26550216693154005,1.4147539978590055e-05
ca,kings county,2,151806.0,31.1,48133.0,43.929093711711,15.434831297840665,2.8997536329262346,1.317470982701606e-05
ca,lake county,4,64260.0,45.1,36548.0,49.63274198568316,19.640522875816995,0.05602240896358543,6.224712107065048e-05
ca,lassen county,2,34018.0,37.3,53107.0,33.696866364865656,18.613675113175375,0.11170556764066084,5.879240402140044e-05
ca,los angeles county,118,9893481.0,35.1,55909.0,50.68825623660671,13.379719433432985,0.04271499586444852,1.1927045698071286e-05
ca,marin county,8,254643.0,44.8,90839.0,50.87082700093857,9.071130955887261,0.08011215701982777,3.141653216463834e-05
ca,mendocino county,3,87497.0,41.8,43469.0,49.819993828359834,18.044047224476266,0.1428620409842623,3.428688983622296e-05
ca,merced county,8,258707.0,30.0,42591.0,49.552582651416465,13.93506940283796,0.05643449925978037,3.092301329303034e-05
ca,modoc county,2,9468.0,46.9,36212.0,49.54583861427968,19.444444444444446,0.0,0.00021123785382340515
ca,monterey county,7,420569.0,33.0,59168.0,48.55897605386988,12.69042654118587,1.4794243037408843,1.6644117849865302e-05
ca,napa county,8,137837.0,39.8,70443.0,50.14328518467466,13.26131590211627,0.0776279228363937,5.803956847580838e-05
ca,nevada county,1,98509.0,48.5,57353.0,50.36595641007421,15.74881482910191,0.13399790882051385,1.0151356728826808e-05
ca,orange county,48,3051771.0,36.4,75422.0,50.53121613646634,11.844794383326928,0.07487455644607671,1.5728572032436246e-05
ca,placer county,11,355924.0,40.4,72725.0,51.194918016205705,13.761645744597162,0.21774311369843,3.0905474202357804e-05
ca,riverside county,38,2228528.0,33.9,56529.0,50.20520271677089,15.633279007488351,0.20955536569430586,1.7051614339151226e-05
ca,sacramento county,46,1435207.0,35.1,55064.0,51.03242946836241,14.21718260850177,0.08821027210708979,3.205112572611477e-05
ca,san benito county,3,56115.0,34.5,66237.0,50.01158335560901,14.441771362380825,0.11048739196293327,5.346164127238706e-05
ca,san bernardino county,17,2056915.0,31.9,54090.0,50.24660717628099,15.672208136942947,0.6115955204760527,8.264804330757469e-06
ca,san diego county,62,3138265.0,34.8,62962.0,49.77814174392539,12.447514789222708,2.537070642536561,1.9756139140576084e-05
ca,san francisco county/city,13,817501.0,38.5,75604.0,49.200918408662496,10.33833597757067,0.036697202816877286,1.5902121220646823e-05
ca,san joaquin county,9,693177.0,32.9,53380.0,50.214014602331005,15.615780673623043,0.029718239353007964,1.2983696804712216e-05
ca,san luis obispo county,5,272094.0,39.5,58697.0,48.87244849206524,13.817283732827626,0.37266532889369114,1.8376002410931516e-05
ca,san mateo county,7,729543.0,39.3,88202.0,50.79659458044282,12.110458190949677,0.02385054753455245,9.595047858727998e-06
ca,santa barbara county,11,427288.0,33.5,62779.0,49.7898372994327,10.818464361273895,0.4388141019640149,2.574376064855554e-05
ca,santa clara county,25,1812208.0,36.4,91702.0,49.77419810529476,10.45845730732896,0.030184173119200446,1.3795325922852123e-05
ca,santa cruz county,11,264808.0,36.9,66519.0,50.20920818102172,10.050678227243889,0.010573698679798193,4.153953052777862e-05
ca,shasta county,5,177966.0,42.1,44651.0,50.777114729779846,18.122562736702516,0.04439050155647708,2.8095254149669037e-05
ca,siskiyou county,1,44503.0,47.1,37709.0,50.07302878457632,18.969507673639978,0.08314046244073434,2.247039525425252e-05
ca,solano county,6,417258.0,37.1,67177.0,50.09178973201232,16.03396459744331,1.3792425789319798,1.437959248234905e-05
ca,sonoma county,14,487469.0,40.2,63356.0,50.83564288190634,13.800672453017526,0.16206158750607733,2.8719775001076993e-05
