state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county
pa,light,180,3 minutes,40.2430556,-79.23777779999999,10,13,21:45,2013,ligonier,westmoreland county
ms,light,240,3-4 minutes,34.9577778,-90.1516667,10,13,22:00,2013,walls,desoto county
in,changing,60,1 minute,39.9555556,-86.01388890000001,10,13,22:50,2013,fishers,hamilton county
ny,sphere,420,7 minutes,40.7141667,-74.0063889,10,13,22:55,2013,new york city,new york county
mi,sphere,3,1-3 seconds,42.4775000,-83.0277778,10,13,23:00,2013,warren,macomb county
ia,circle,300,5 minutes,43.1811111,-95.8558333,10,13,23:30,2013,sheldon,o'brien county
nj,circle,60,1 minute,39.8397222,-74.1905556,10,14,00:35,2013,forked river,ocean county
nm,flash,2700,30-45 minutes,35.0844444,-106.65055559999999,10,14,01:40,2013,albuquerque,bernalillo county
nh,cylinder,60,<1 minute,42.9375000,-70.8394444,10,14,11:47,2013,hampton,rockingham county
pa,rectangle,600,10 minutes,40.3236111,-75.0602778,10,14,16:00,2013,buckingham,bucks county
nc,sphere,240,4 minutes,35.2269444,-80.8433333,10,14,16:45,2013,charlotte,mecklenburg county
il,cigar,240,4 minutes,42.2194444,-87.9794444,10,14,18:00,2013,vernon hills,lake county
or,light,900,15 minutes,45.9933333,-123.9213889,10,14,19:00,2013,seaside,clatsop county
ca,light,300,5 minutes,37.8044444,-122.2697222,10,14,19:15,2013,oakland,alameda county
wi,light,180,3 minutes,44.5191667,-88.0197222,10,14,19:30,2013,green bay,brown county
la,sphere,900,15 minutes,32.5230556,-92.6377778,10,14,19:30,2013,ruston,lincoln parish
mi,disk,120,2 minutes,45.0230556,-85.75972220000001,10,14,20:00,2013,leland,leelanau county
nj,circle,300,5 minutes,39.5400000,-74.2572222,10,14,20:15,2013,holgate,ocean county
mi,circle,300,5 minutes,42.2916667,-85.58722220000001,10,14,20:30,2013,kalamazoo,kalamazoo county
ca,triangle,900,15 minutes,38.9088889,-123.69194440000001,10,14,20:30,2013,point arena,mendocino county
oh,circle,45,45 seconds,41.2375000,-80.8186111,10,14,23:00,2013,warren,trumbull county
ca,other,120,2 minutes,37.5483333,-121.9875,10,15,06:20,2013,fremont,alameda county
pa,triangle,600,10 minutes,41.2058333,-76.0663889,10,15,09:15,2013,hunlock creek,luzerne county
me,unknown,1800,30 minutes,44.0100000,-69.8988889,10,15,14:45,2013,bowdoinham,sagadahoc county
md,disk,7,7 seconds,38.9805556,-77.10055559999999,10,15,15:00,2013,bethesda,montgomery county
az,fireball,10,10 seconds,34.4838889,-114.32166670000001,10,15,16:00,2013,lake havasu city,mohave county
mt,light,120,2 minutes,45.6797222,-111.03777779999999,10,15,16:45,2013,bozeman,gallatin county
il,changing,1500,20-25 minutes,42.2711111,-89.09388890000001,10,15,19:30,2013,rockford,winnebago county
nj,unknown,90,90 seconds,39.4100000,-74.365,10,15,19:35,2013,brigantine,atlantic county
id,chevron,30,30 seconds,43.6136111,-116.2025,10,15,20:00,2013,boise,ada county
nc,other,480,8 minutes,36.1344444,-80.6597222,10,15,20:00,2013,yadkinville,yadkin county
nc,light,3,3 seconds,33.8941667,-78.4269444,10,15,20:30,2013,ocean isle beach,brunswick county
ca,sphere,0.5,<0.5 second,34.2011111,-118.53555559999998,10,15,20:35,2013,reseda,los angeles county
wa,disk,300,~5:00 minutes,48.9938889,-122.74583329999999,10,15,21:45,2013,blaine,whatcom county
nm,flash,60,1 minute,35.0844444,-106.65055559999999,10,15,22:00,2013,albuquerque,bernalillo county
ca,light,240,4 minutes,38.5816667,-121.49333329999999,10,15,22:30,2013,sacramento,sacramento county
ok,other,60,1 minutes,36.1888889,-95.7455556,10,15,23:00,2013,catoosa,rogers county
wv,triangle,60,1 minute,39.5105556,-79.79861109999999,10,15,23:30,2013,reedsville,preston county
pa,light,60,1 minute,40.7255556,-75.3944444,10,16,00:15,2013,bath,northampton county
in,formation,600,10 minutes,39.2866667,-86.7625,10,16,08:40,2013,spencer,owen county
pa,cigar,420,7 minutes,40.2013889,-77.1891667,10,16,18:50,2013,carlisle,cumberland county
mn,formation,600,10 minutes,44.9630556,-92.96472220000001,10,16,19:05,2013,oakdale,washington county
ma,light,600,10 minutes,41.6361111,-70.93472220000001,10,16,19:15,2013,new bedford,bristol county
az,unknown,600,10 minutes,33.2486111,-111.63361110000001,10,16,19:30,2013,queen creek,maricopa county
oh,circle,2,2 seconds,39.0283333,-84.2177778,10,16,20:15,2013,amelia,clermont county
ca,circle,60,1 minute,38.5816667,-121.49333329999999,10,16,20:23,2013,sacramento,sacramento county
tx,cylinder,180,3 minutes,32.7252778,-97.32055559999999,10,16,20:57,2013,fort worth,tarrant county
az,other,1500,25 minutes,33.3941667,-110.7858333,10,16,21:30,2013,globe,gila county
in,circle,300,5 minutes,39.7683333,-86.1580556,10,16,21:40,2013,indianapolis,marion county
ut,egg,3,3 seconds,41.1325000,-111.92944440000001,10,16,22:30,2013,south weber,davis county
id,other,180,3 minutes,44.0783333,-116.9327778,10,16,22:45,2013,payette,payette county
id,formation,300,5 minutes,43.6122222,-116.39055559999998,10,16,22:57,2013,meridian,ada county
ca,circle,600,10 minutes,32.8572222,-116.9213889,10,17,06:45,2013,lakeside,san diego county
ca,other,5,5 seconds,37.3394444,-121.8938889,10,17,07:00,2013,san jose,santa clara county
fl,unknown,2700,~45 minutes,28.0777778,-82.76388890000001,10,17,08:17,2013,palm harbor,pinellas county
va,disk,300,5 minutes,36.6222222,-81.1511111,10,17,19:40,2013,independence,grayson county
wa,light,300,4-5 minutes,48.5466667,-117.90444440000002,10,17,20:00,2013,colville,stevens county
fl,light,7200,2 hrs,26.0625000,-80.2333333,10,17,20:00,2013,davie,broward county
