state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county,Unemployment_rate_2013,Median_Household_Income_2018
mo,sphere,15.0,10-15 seconds,38.2205556,-90.39583329999999,10,19,21:00,2013,festus,jefferson county,6.8,"65,150"
pa,other,30.0,30 seconds,40.9644444,-76.88472220000001,10,19,21:00,2013,lewisburg,union county,6.3,"55,679"
md,sphere,3600.0,1+ hours,39.1458333,-77.41722220000003,10,19,21:11,2013,poolesville,montgomery county,4.9,"107,758"
ca,light,300.0,5 minutes,33.7222222,-116.3736111,10,19,21:30,2013,palm desert,riverside county,9.9,"66,793"
mo,triangle,120.0,minutes,38.6272222,-90.1977778,10,19,21:30,2013,saint louis,st. louis city,8.4,"43,263"
ga,triangle,1800.0,~30 minutes,34.1761111,-85.1613889,10,19,21:30,2013,silver creek,floyd county,9.5,"44,906"
mn,sphere,5.0,5 seconds,44.9444444,-93.0930556,10,19,21:30,2013,st. paul,ramsey county,4.9,"62,937"
nc,sphere,420.0,7 minutes,35.226944399999994,-80.8433333,10,19,21:53,2013,charlotte,mecklenburg county,7.5,"64,509"
ct,triangle,180.0,3 minutes,41.3461111,-73.0794444,10,19,22:00,2013,ansonia,new haven county,8.5,"67,720"
id,sphere,600.0,5-10 minutes,43.6136111,-116.2025,10,19,22:00,2013,boise,ada county,5.2,"66,827"
oh,sphere,300.0,5 minutes,41.3197222,-81.6269444,10,19,22:00,2013,brecksville,cuyahoga county,7.0,"50,006"
mi,sphere,420.0,7 minutes,43.0125,-83.6875,10,19,22:15,2013,flint,genesee county,9.7,"48,370"
tx,flash,10.0,10 seconds,30.2669444,-97.7427778,10,19,22:30,2013,austin,travis county,5.0,"76,255"
fl,light,300.0,5 minutes,26.9338889,-80.0944444,10,19,22:30,2013,jupiter,palm beach county,7.1,"61,735"
nm,light,900.0,15 minutes,35.084444399999995,-106.65055559999999,10,19,23:00,2013,albuquerque,bernalillo county,6.5,"51,372"
oh,light,600.0,8-10 minutes,41.6638889,-83.5552778,10,20,00:00,2013,toledo,lucas county,8.7,"47,865"
