state,county,UFO_sightings,Unemployment_rate_2013,REGION,DIVISION,POPESTIMATE2013,STNAME,per_capita_sightings
ri,providence county,17,9.8,1,1,631584,Rhode Island,2.6916451335055986e-05
ri,washington county,4,8.6,1,1,126433,Rhode Island,3.163730987954094e-05
sc,aiken county,2,7.6,3,5,163702,South Carolina,1.2217321718732819e-05
sc,anderson county,5,7.1,3,5,190005,South Carolina,2.6315096971132338e-05
sc,berkeley county,3,7.0,3,5,194031,South Carolina,1.5461446882199238e-05
sc,charleston county,14,5.9,3,5,371703,South Carolina,3.766447943653939e-05
sc,cherokee county,1,10.5,3,5,56056,South Carolina,1.7839303553589267e-05
sc,chester county,2,12.2,3,5,32737,South Carolina,6.109295292787977e-05
sc,darlington county,1,9.3,3,5,67808,South Carolina,1.4747522416234073e-05
sc,fairfield county,2,10.7,3,5,23194,South Carolina,8.622919720617402e-05
sc,florence county,4,8.3,3,5,138178,South Carolina,2.894816830465052e-05
sc,georgetown county,5,10.1,3,5,60476,South Carolina,8.267742575567167e-05
sc,greenville county,10,6.1,3,5,473014,South Carolina,2.11410233100923e-05
sc,greenwood county,1,8.6,3,5,69823,South Carolina,1.4321928304426908e-05
sc,horry county,56,8.6,3,5,288783,South Carolina,0.00019391723197002595
sc,laurens county,1,8.6,3,5,66149,South Carolina,1.5117386506220805e-05
sc,lexington county,9,5.8,3,5,273248,South Carolina,3.293711207401335e-05
sc,pickens county,2,7.4,3,5,119249,South Carolina,1.6771629112193813e-05
sc,richland county,3,6.9,3,5,396757,South Carolina,7.561303266230968e-06
sc,spartanburg county,3,7.7,3,5,290414,South Carolina,1.0330080505760742e-05
sc,york county,6,7.7,3,5,238605,South Carolina,2.5146162067014522e-05
sd,beadle county,1,3.6,2,4,18201,South Dakota,5.494203615185979e-05
sd,davison county,2,3.1,2,4,19941,South Dakota,0.00010029587282483326
sd,hughes county,1,2.9,2,4,17428,South Dakota,5.737893045673629e-05
sd,minnehaha county,3,3.3,2,4,177981,South Dakota,1.6855731791595732e-05
sd,pennington county,4,3.9,2,4,105919,South Dakota,3.776470699307962e-05
sd,roberts county,1,5.2,2,4,10238,South Dakota,9.767532721234616e-05
sd,todd county,1,9.8,2,4,9994,South Dakota,0.00010006003602161297
sd,yankton county,3,3.3,2,4,22641,South Dakota,0.00013250298131707962
tn,anderson county,1,7.9,3,6,75299,Tennessee,1.3280388849785521e-05
tn,bedford county,2,9.2,3,6,45565,Tennessee,4.389333918577856e-05
tn,blount county,4,7.0,3,6,124874,Tennessee,3.203228854685523e-05
tn,bradley county,1,7.1,3,6,101778,Tennessee,9.825306058283716e-06
tn,carter county,2,9.2,3,6,56978,Tennessee,3.510126715574432e-05
tn,cumberland county,1,9.3,3,6,57438,Tennessee,1.741007695254013e-05
tn,davidson county,22,5.9,3,6,660179,Tennessee,3.332429538049529e-05
tn,dickson county,2,7.7,3,6,50164,Tennessee,3.986922892911251e-05
tn,dyer county,1,10.5,3,6,38093,Tennessee,2.6251542278108837e-05
tn,fayette county,2,8.6,3,6,38812,Tennessee,5.153045449860868e-05
tn,franklin county,1,7.3,3,6,41213,Tennessee,2.4264188484216147e-05
tn,gibson county,2,11.0,3,6,49380,Tennessee,4.050222762251924e-05
tn,greene county,1,9.7,3,6,68336,Tennessee,1.4633575275111216e-05
tn,hamblen county,1,9.1,3,6,63051,Tennessee,1.586017668236824e-05
tn,hamilton county,6,7.2,3,6,349050,Tennessee,1.7189514396218306e-05
tn,hancock county,1,11.8,3,6,6621,Tennessee,0.00015103458692040478
tn,hardin county,1,10.4,3,6,25925,Tennessee,3.8572806171648985e-05
tn,humphreys county,1,8.8,3,6,18244,Tennessee,5.4812541109405835e-05
tn,jefferson county,2,9.1,3,6,52134,Tennessee,3.83626807841332e-05
