Unemployment_rate_2013,Median_Household_Income_2018,state,county
6.9,"59,500",co,moffat county
7.7,"50,180",co,montezuma county
9.4,"52,576",co,montrose county
6.5,"55,387",co,morgan county
9.8,"40,064",co,otero county
7.6,"68,900",co,ouray county
6.1,"72,121",co,park county
4.6,"52,367",co,phillips county
6.5,"89,034",co,pitkin county
6.3,"42,455",co,prowers county
9.8,"48,308",co,pueblo county
7.8,"63,411",co,rio blanco county
11.6,"44,171",co,rio grande county
5.9,"81,033",co,routt county
11.3,"36,869",co,saguache county
8.6,"46,878",co,san juan county
6.7,"69,458",co,san miguel county
6.2,"40,009",co,sedgwick county
5.0,"80,078",co,summit county
7.8,"64,850",co,teller county
4.6,"47,869",co,washington county
6.6,"75,629",co,weld county
4.8,"53,253",co,yuma county
7.8,"76,366",ct,connecticut
7.3,"91,183",ct,fairfield county
8.0,"73,037",ct,hartford county
7.1,"76,304",ct,litchfield county
6.7,"88,709",ct,middlesex county
8.5,"67,720",ct,new haven county
8.1,"67,790",ct,new london county
6.9,"89,584",ct,tolland county
8.8,"65,182",ct,windham county
6.7,"65,467",de,delaware
7.3,"54,980",de,kent county
6.5,"69,562",de,new castle county
6.8,"59,821",de,sussex county
8.5,"82,533",dc,district of columbia
8.5,"82,533",dc,district of columbia
7.2,"55,433",fl,florida
5.7,"51,026",fl,alachua county
7.4,"52,804",fl,baker county
7.3,"51,777",fl,bay county
6.3,"45,075",fl,bradford county
8.3,"57,612",fl,brevard county
6.8,"57,200",fl,broward county
7.9,"38,323",fl,calhoun county
8.0,"52,724",fl,charlotte county
9.7,"41,556",fl,citrus county
6.3,"62,835",fl,clay county
7.1,"70,649",fl,collier county
7.6,"46,195",fl,columbia county
8.2,"37,233",fl,desoto county
8.5,"37,148",fl,dixie county
7.5,"55,733",fl,duval county
7.2,"50,644",fl,escambia county
8.4,"58,975",fl,flagler county
5.5,"40,297",fl,franklin county
9.2,"42,259",fl,gadsden county
7.9,"42,186",fl,gilchrist county
7.4,"38,680",fl,glades county
6.8,"45,426",fl,gulf county
8.6,"36,299",fl,hamilton county
8.2,"39,169",fl,hardee county
12.0,"44,391",fl,hendry county
9.0,"45,884",fl,hernando county
9.5,"39,994",fl,highlands county
6.6,"58,361",fl,hillsborough county
7.9,"38,040",fl,holmes county
9.6,"58,228",fl,indian river county
7.5,"39,545",fl,jackson county
7.8,"46,332",fl,jefferson county
5.2,"42,689",fl,lafayette county
7.4,"52,447",fl,lake county
7.3,"56,343",fl,lee county
6.1,"51,046",fl,leon county
8.2,"39,037",fl,levy county
6.7,"40,814",fl,liberty county
7.8,"38,249",fl,madison county
6.7,"59,587",fl,manatee county
8.5,"44,517",fl,marion county
7.2,"61,592",fl,martin county
7.4,"52,043",fl,miami-dade county
4.8,"67,094",fl,monroe county
6.7,"66,898",fl,nassau county
5.7,"62,779",fl,okaloosa county
8.7,"42,258",fl,okeechobee county
6.8,"58,037",fl,orange county
7.9,"50,473",fl,osceola county
7.1,"61,735",fl,palm beach county
7.7,"53,788",fl,pasco county
6.6,"52,226",fl,pinellas county
8.2,"51,354",fl,polk county
10.4,"39,578",fl,putnam county
5.4,"81,925",fl,st. johns county
10.0,"53,377",fl,st. lucie county
6.4,"69,541",fl,santa rosa county
7.0,"61,652",fl,sarasota county
6.7,"67,187",fl,seminole county
9.3,"55,324",fl,sumter county
6.9,"38,525",fl,suwannee county
7.8,"42,307",fl,taylor county
6.3,"45,906",fl,union county
8.2,"50,285",fl,volusia county
6.0,"58,203",fl,wakulla county
6.1,"60,973",fl,walton county
7.7,"39,225",fl,washington county
8.2,"58,634",ga,georgia
10.7,"42,781",ga,appling county
9.4,"36,779",ga,atkinson county
8.4,"38,775",ga,bacon county
10.5,"38,288",ga,baker county
10.1,"42,727",ga,baldwin county
7.9,"55,384",ga,banks county
7.4,"61,413",ga,barrow county
8.7,"57,409",ga,bartow county
12.5,"35,020",ga,ben hill county
9.5,"39,412",ga,berrien county
9.3,"41,390",ga,bibb county
14.0,"46,019",ga,bleckley county
10.6,"41,874",ga,brantley county
8.3,"36,354",ga,brooks county
7.4,"79,658",ga,bryan county
8.7,"43,766",ga,bulloch county
12.0,"42,785",ga,burke county
9.3,"48,831",ga,butts county
8.1,"33,393",ga,calhoun county
7.8,"56,555",ga,camden county
8.2,"35,841",ga,candler county
9.6,"52,502",ga,carroll county
6.7,"55,807",ga,catoosa county
8.4,"40,499",ga,charlton county
8.3,"54,165",ga,chatham county
11.0,"46,869",ga,chattahoochee county
9.0,"39,513",ga,chattooga county
6.1,"82,733",ga,cherokee county
7.8,"42,112",ga,clarke county
11.4,"30,239",ga,clay county
10.8,"46,059",ga,clayton county
9.2,"37,593",ga,clinch county
6.7,"78,603",ga,cobb county
9.9,"39,480",ga,coffee county
8.8,"38,633",ga,colquitt county
6.5,"82,184",ga,columbia county
8.5,"38,827",ga,cook county
7.0,"70,974",ga,coweta county
8.8,"48,004",ga,crawford county
11.2,"36,096",ga,crisp county
7.1,"48,779",ga,dade county
7.4,"68,835",ga,dawson county
9.5,"38,441",ga,decatur county
8.4,"63,477",ga,dekalb county
11.4,"35,636",ga,dodge county
11.5,"37,278",ga,dooly county
10.3,"38,806",ga,dougherty county
8.6,"60,512",ga,douglas county
9.1,"34,984",ga,early county
6.3,"38,667",ga,echols county
7.2,"65,793",ga,effingham county
10.8,"39,681",ga,elbert county
12.5,"37,574",ga,emanuel county
7.6,"37,319",ga,evans county
